Code_ATC3,Libelle_ATC3,Taux_de_remboursement,date,Base_de_remboursement,Montant_remboursé,Nombre_de_boites_remboursées
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2021-01-01,315120.25,315120.25,110516
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2021-02-01,308886.2,308886.2,107700
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2021-03-01,368405.72,368405.72,127223
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2021-04-01,340894.06,340894.06,117039
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2021-05-01,306747.14,306747.14,105068
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2021-06-01,357647.45,357647.45,122320
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2021-07-01,327764.95,327764.95,112489
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2021-08-01,300900.39,300900.39,102162
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2021-09-01,331113.52,331113.52,112286
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2021-10-01,323871.32,323871.32,110758
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2021-11-01,330319.29,330319.29,113472
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2021-12-01,338377.86,338377.86,114597
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2022-01-01,308439.59,308439.59,106104
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2022-02-01,306826.34,306826.34,106307
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2022-03-01,359510.0,359510.0,124890
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2022-04-01,307031.74,307031.74,108245
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2022-05-01,332595.47,332595.47,117016
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2022-06-01,329908.5,329908.5,114901
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2022-07-01,312066.59,312066.59,108118
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2022-08-01,303965.43,303965.43,103096
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2022-09-01,320527.58,320527.58,111203
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2022-10-01,308820.27,308820.27,109016
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2022-11-01,310280.53,310280.53,109751
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2022-12-01,315842.81,315842.81,110510
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2023-01-01,321541.31,321541.31,113808
A01A,PREPARATIONS STOMATOLOGIQUES,100%,2023-02-01,274741.23,274741.23,99889
